"","Day8","Day16"
"1",2494.53674467864,213.898232262255
"2",3329.59740932687,1815.17590777494
"3",3.54841642201798,23.6725316337673
"4",31.9357477981618,174.16219701986
"5",0,0
"6",468.390967706373,562.222626301974
"7",113.549325504575,12.6817133752325
"8",86.3447996024374,137.80795201086
"9",0,0.845447558348833
"10",55.5918572782816,0
"11",2350.23447684991,1624.10475958811
"12",521.617214036642,443.859968133137
"13",102.904076238521,181.771225044999
"14",0,40.581482800744
"15",191.614486788971,32.9724547756045
"16",0,174.16219701986
"17",37.8497751681917,125.971686193976
"18",669.467898287391,311.970149030719
"19",35.4841642201798,1.69089511669767
"20",830.329442752206,270.543218671627
"21",102.904076238521,764.284592747345
"22",500.326715504535,733.848480646787
"23",0,163.171378761325
"24",0,0
"25",178.603626574905,376.224163465231
"26",83.9791886544254,25.363426750465
"27",46.1294134862337,28.7452169838603
"28",85.1619941284314,177.543987253255
"29",5.91402737002996,74.3993851346973
"30",21.2904985321079,27.8997694255115
"31",0,0
"32",72.1511339143655,90.4628887433251
"33",708.500478929589,815.011446248275
"34",467.208162232367,591.813290844183
"35",7.09683284403595,9.29992314183716
"36",785.382834739979,652.685515045299
"37",0,0
"38",0,0
"39",158.495933516803,110.753630143697
"40",205.808152477043,264.625085763185
"41",322.905894403636,44.8087205924882
"42",147.850684250749,530.095619084718
"43",0,0.845447558348833
"44",62.6886901223176,322.960967289254
"45",115.914936452587,462.459814416812
"46",949.792795626811,371.996925673487
"47",0,0
"48",0,0.845447558348833
"49",76.8823558103895,76.9357278097438
"50",2449.59013666641,14.3726084919302
"51",20.1076930581019,0
"52",1.18280547400599,3.38179023339533
"53",832.695053700218,1095.70003562009
"54",186.883264892947,145.416980035999
"55",198.711319633007,276.461351580068
"56",197.528514159001,337.333575781184
"57",428.175581590169,370.306030556789
"58",8.27963831804194,32.1270072172557
"59",0,35.508797450651
"60",44.9466080122277,34.6633498923022
"61",39.0325806421977,41.4269303590928
"62",85.1619941284314,3.38179023339533
"63",15.3764711620779,3.38179023339533
"64",36.6669696941857,119.208105727185
"65",52.0434408562636,317.042834380812
"66",205.808152477043,8.45447558348833
"67",80.4307722324074,152.18056050279
"68",451.831691070289,251.097924829603
"69",1581.41091874601,1044.97318211916
"70",314.626256085594,177.543987253255
"71",114.732130978581,48.1905108258835
"72",3.54841642201798,2.5363426750465
"73",121.828963822617,121.744448402232
"74",0,27.0543218671627
"75",34.3013587461738,11.8362658168837
"76",99.3556598165033,146.262427594348
"77",0,0
"78",0,0
"79",458.928523914325,629.012983411532
"80",0,2.5363426750465
"81",4009.71055688031,1873.51178930101
"82",0,1.69089511669767
"83",295.701368501498,243.488896804464
"84",0,0.845447558348833
"85",396.239833792007,820.929579156717
"86",4025.08702804239,1237.73522542269
"87",728.608171987691,514.877563034439
"88",0,0
"89",471.939384128391,224.043602962441
"90",164.409960886833,232.498078545929
"91",67.4199120183415,132.735266660767
"92",2914.43268795076,1980.03818165297
"93",73.3339393883715,0
"94",0,0
"95",0,0
"96",74.5167448623775,137.80795201086
"97",380.863362629929,374.533268348533
"98",580.757487736942,419.341988941021
"99",99.3556598165033,249.407029712906
"100",60.3230791743056,68.4812522262555
"101",0,32.9724547756045
"102",9974.59856229253,5114.11228045209
"103",0,0
"104",0,0
"105",0,0
"106",0,0
"107",0,0
"108",0,0
"109",0,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",0,0
"115",0,0
"116",0,0
"117",0,0
"118",0,0
"119",0,0
"120",5.91402737002996,0
"121",0,0
"122",0,0
"123",0,0
"124",0,0
"125",0,0
"126",2.36561094801198,0
"127",0,0
"128",0,0
"129",0,0
"130",0,0
"131",0,0
"132",0,0
"133",241.292316697222,0
"134",35.4841642201798,0
"135",0,0
"136",0,0
"137",0,0
"138",0,0
"139",0,0
"140",0,0
"141",0,0
"142",0,0
"143",2.36561094801198,0
"144",0,0
"145",0,0
"146",0,0
"147",0,0
"148",0,0
"149",0,0
"150",0,0
"151",0,0
"152",0,0
"153",0,0
"154",0,0
"155",367.852502415863,0
"156",0,0
